Contract Name,Written By,Etherscan Tag,Identity,Public on ES,contract_address,creation_time_stamp,transaction_hash,deployed_by,num_transactions,ABI
,,,,FALSE,0xaf7c403477413862d73cd44ee3158c76fcf2c2fb,2018-12-03T18:58:53Z,,0xa9b16b8c2399510706cd275ad9f86ef668067351,0,
,,,,FALSE,0x203614f0b97b6ff2946d682230356ab461c58d42,2018-12-03T19:11:48Z,,0xa9b16b8c2399510706cd275ad9f86ef668067351,0,
,,,,FALSE,0x382026c0fb598a69890d9ce77469c57ffd630c4b,2018-12-03T19:24:07Z,,0xa9b16b8c2399510706cd275ad9f86ef668067351,0,
,,,,FALSE,0x806b330ace5229df301502871d2777461aa62901,2018-12-03T19:28:39Z,,0xa9b16b8c2399510706cd275ad9f86ef668067351,0,
AZTEC,AZTEC,,,TRUE,0xa43f8675850ac3f60a4d4cec954f1a1b0e1dbb07,2018-12-03T19:37:04Z,,0xa9b16b8c2399510706cd275ad9f86ef668067351,0,"[{""payable"":true,""stateMutability"":""payable"",""type"":""fallback""}]"
AZTECERC20Bridge,AZTEC,,,TRUE,0xcf65a4e884373ad12cd91c8c868f1de9da48501f,2018-12-03T19:37:56Z,0xf9a101682c637f7741f281c858527d17036f4df284b7064bd1ca44531ab88374,0xa9b16b8c2399510706cd275ad9f86ef668067351,3,"[{""constant"":true,""inputs"":[{""name"":"""",""type"":""bytes32""}],""name"":""noteRegistry"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""notes"",""type"":""bytes32[6][]""},{""name"":""m"",""type"":""uint256""},{""name"":""challenge"",""type"":""uint256""},{""name"":""inputSignatures"",""type"":""bytes32[3][]""},{""name"":""outputOwners"",""type"":""address[]""},{""name"":"""",""type"":""bytes""}],""name"":""confidentialTransfer"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""scalingFactor"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""inputs"":[{""name"":""_setupPubKey"",""type"":""bytes32[4]""},{""name"":""_token"",""type"":""address""},{""name"":""_scalingFactor"",""type"":""uint256""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""constructor""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""domainHash"",""type"":""bytes32""},{""indexed"":false,""name"":""contractAddress"",""type"":""address""}],""name"":""Created"",""type"":""event""},{""anonymous"":false,""inputs"":[],""name"":""ConfidentialTransfer"",""type"":""event""}]"
AZTEC,AZTEC,,,TRUE,0x2e99d8d77de658358fc1b653443de64248a16e84,2018-12-21T17:22:17Z,,0xa9b16b8c2399510706cd275ad9f86ef668067351,0,"[{""payable"":true,""stateMutability"":""payable"",""type"":""fallback""}]"
AZTEC,AZTEC,,,TRUE,0xcad4bbc078289769cc27596be7b5a45984caac3c,2018-12-21T17:24:34Z,,0xa9b16b8c2399510706cd275ad9f86ef668067351,0,"[{""payable"":true,""stateMutability"":""payable"",""type"":""fallback""}]"
AZTEC,AZTEC,,,TRUE,0xbf58dc0edf212c0439c913a98dd95d328688b3ea,2018-12-21T17:25:55Z,,0xa9b16b8c2399510706cd275ad9f86ef668067351,0,"[{""payable"":true,""stateMutability"":""payable"",""type"":""fallback""}]"
AZTECERC20Bridge,AZTEC,,,TRUE,0x898997ac268758d7ddbf7c0cf7e1b7366505c9eb,2018-12-21T17:27:28Z,,0xa9b16b8c2399510706cd275ad9f86ef668067351,0,"[{""constant"":true,""inputs"":[{""name"":"""",""type"":""bytes32""}],""name"":""noteRegistry"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""notes"",""type"":""bytes32[6][]""},{""name"":""m"",""type"":""uint256""},{""name"":""challenge"",""type"":""uint256""},{""name"":""inputSignatures"",""type"":""bytes32[3][]""},{""name"":""outputOwners"",""type"":""address[]""},{""name"":"""",""type"":""bytes""}],""name"":""confidentialTransfer"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""scalingFactor"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""inputs"":[{""name"":""_setupPubKey"",""type"":""bytes32[4]""},{""name"":""_token"",""type"":""address""},{""name"":""_scalingFactor"",""type"":""uint256""},{""name"":""_chainId"",""type"":""uint256""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""constructor""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""domainHash"",""type"":""bytes32""},{""indexed"":false,""name"":""contractAddress"",""type"":""address""}],""name"":""Created"",""type"":""event""},{""anonymous"":false,""inputs"":[],""name"":""ConfidentialTransfer"",""type"":""event""}]"
AZTECERC20Bridge,AZTEC,,,TRUE,0xb8184c18c5541e437d98af1a31396fc304296e08,2018-12-21T18:34:57Z,0x4b639030bcd487ad04daf045f62e23ac6b9123c02a6de7c5ebc89b47b9fcf11a,0xa9b16b8c2399510706cd275ad9f86ef668067351,3,"[{""constant"":true,""inputs"":[{""name"":"""",""type"":""bytes32""}],""name"":""noteRegistry"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""notes"",""type"":""bytes32[6][]""},{""name"":""m"",""type"":""uint256""},{""name"":""challenge"",""type"":""uint256""},{""name"":""inputSignatures"",""type"":""bytes32[3][]""},{""name"":""outputOwners"",""type"":""address[]""},{""name"":"""",""type"":""bytes""}],""name"":""confidentialTransfer"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""scalingFactor"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""inputs"":[{""name"":""_setupPubKey"",""type"":""bytes32[4]""},{""name"":""_token"",""type"":""address""},{""name"":""_scalingFactor"",""type"":""uint256""},{""name"":""_chainId"",""type"":""uint256""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""constructor""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""domainHash"",""type"":""bytes32""},{""indexed"":false,""name"":""contractAddress"",""type"":""address""}],""name"":""Created"",""type"":""event""},{""anonymous"":false,""inputs"":[],""name"":""ConfidentialTransfer"",""type"":""event""}]"
AZTEC,AZTEC,,,TRUE,0x1f22a2b659bcc9781d0d46114904ab07ccdf16f3,2019-01-29T12:32:15Z,,0x7b15a272bf8b30321420106c528821df5e6e8750,0,"[{""payable"":true,""stateMutability"":""payable"",""type"":""fallback""}]"
AZTECERC20Bridge,AZTEC,,,TRUE,0xa9f26e81f2e7f91b6b64a36f0f95493d18a92b67,2019-01-29T12:34:52Z,0xadeb5f7fdc9d3a45e8457d6cb984903bc9cef5e260824efd9bdf1ad8efe0bb75,0x7b15a272bf8b30321420106c528821df5e6e8750,4,"[{""constant"":true,""inputs"":[{""name"":"""",""type"":""bytes32""}],""name"":""noteRegistry"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""notes"",""type"":""bytes32[6][]""},{""name"":""m"",""type"":""uint256""},{""name"":""challenge"",""type"":""uint256""},{""name"":""inputSignatures"",""type"":""bytes32[3][]""},{""name"":""outputOwners"",""type"":""address[]""},{""name"":"""",""type"":""bytes""}],""name"":""confidentialTransfer"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""scalingFactor"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""inputs"":[{""name"":""_setupPubKey"",""type"":""bytes32[4]""},{""name"":""_token"",""type"":""address""},{""name"":""_scalingFactor"",""type"":""uint256""},{""name"":""_chainId"",""type"":""uint256""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""constructor""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""domainHash"",""type"":""bytes32""},{""indexed"":false,""name"":""contractAddress"",""type"":""address""}],""name"":""Created"",""type"":""event""},{""anonymous"":false,""inputs"":[],""name"":""ConfidentialTransfer"",""type"":""event""}]"
Depositor,,,,TRUE,0x897e2f9ed5dd8c29c0e6b4bcc86b915659d832c2,2019-05-15T14:49:28Z,,0xd1e101f680534086ffb507f402627b029dccc355,0,"[{""constant"":true,""inputs"":[],""name"":""lastVerifiedRoot"",""outputs"":[{""name"":"""",""type"":""bytes32""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""address""}],""name"":""operators"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""startNextDepositBatch"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""SPECIAL_ACCOUNT_EXITS"",""outputs"":[{""name"":"""",""type"":""uint24""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""totalDepositRequests"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""exitor"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""address""}],""name"":""balances"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""totalExitRequests"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""address""},{""name"":"""",""type"":""uint32""}],""name"":""exitLeafs"",""outputs"":[{""name"":""nextID"",""type"":""uint32""},{""name"":""amount"",""type"":""uint128""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":""value"",""type"":""uint256""}],""name"":""scaleIntoPlasmaUnitsFromWei"",""outputs"":[{""name"":"""",""type"":""uint128""}],""payable"":false,""stateMutability"":""pure"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""DEPOSIT_BATCH_SIZE"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""cancelDeposit"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""MAX_DELAY"",""outputs"":[{""name"":"""",""type"":""uint64""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""lastCommittedExitBatch"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""uint256""},{""name"":"""",""type"":""uint24""}],""name"":""depositRequests"",""outputs"":[{""name"":""amount"",""type"":""uint128""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""batchNumber"",""type"":""uint256""},{""name"":""accoundIDs"",""type"":""uint24[1]""},{""name"":""blockNumber"",""type"":""uint32""},{""name"":""newRoot"",""type"":""bytes32""}],""name"":""commitDepositBlock"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""currentExitBatchFee"",""outputs"":[{""name"":"""",""type"":""uint128""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""uint32""}],""name"":""blocks"",""outputs"":[{""name"":""circuit"",""type"":""uint8""},{""name"":""deadline"",""type"":""uint64""},{""name"":""totalFees"",""type"":""uint128""},{""name"":""newRoot"",""type"":""bytes32""},{""name"":""publicDataCommitment"",""type"":""bytes32""},{""name"":""prover"",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""accountID"",""type"":""uint24""},{""name"":""maxFee"",""type"":""uint128""}],""name"":""depositInto"",""outputs"":[],""payable"":true,""stateMutability"":""payable"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":""blockNumber"",""type"":""uint32""},{""name"":""txDataPacked"",""type"":""bytes""}],""name"":""createPublicDataCommitmentForDeposit"",""outputs"":[{""name"":""h"",""type"":""bytes32""}],""payable"":false,""stateMutability"":""pure"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""lastVerifiedDepositBatch"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""stopped"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""uint24""}],""name"":""accounts"",""outputs"":[{""name"":""state"",""type"":""uint8""},{""name"":""exitBatchNumber"",""type"":""uint32""},{""name"":""owner"",""type"":""address""},{""name"":""publicKey"",""type"":""uint256""},{""name"":""exitListHead"",""type"":""uint32""},{""name"":""exitListTail"",""type"":""uint32""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""lastCommittedBlockNumber"",""outputs"":[{""name"":"""",""type"":""uint32""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""address""}],""name"":""ethereumAddressToAccountID"",""outputs"":[{""name"":"""",""type"":""uint24""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""publicKey"",""type"":""uint256[2]""},{""name"":""maxFee"",""type"":""uint128""}],""name"":""deposit"",""outputs"":[],""payable"":true,""stateMutability"":""payable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""transactor"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""DENOMINATOR"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""batchNumber"",""type"":""uint256""},{""name"":""accoundIDs"",""type"":""uint24[1]""},{""name"":""blockNumber"",""type"":""uint32""},{""name"":""proof"",""type"":""uint256[8]""}],""name"":""verifyDepositBlock"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""uint256""}],""name"":""exitBatches"",""outputs"":[{""name"":""state"",""type"":""uint8""},{""name"":""blockNumber"",""type"":""uint32""},{""name"":""timestamp"",""type"":""uint64""},{""name"":""batchFee"",""type"":""uint128""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""DEADLINE"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""currentDepositBatchFee"",""outputs"":[{""name"":"""",""type"":""uint128""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":""value"",""type"":""uint128""}],""name"":""scaleFromPlasmaUnitsIntoWei"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""pure"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":""publicKey"",""type"":""uint256[2]""}],""name"":""packAndValidatePublicKey"",""outputs"":[{""name"":""packed"",""type"":""uint256""}],""payable"":false,""stateMutability"":""pure"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""depositor"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""SPECIAL_ACCOUNT_DEPOSITS"",""outputs"":[{""name"":"""",""type"":""uint24""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""lastVerifiedExitBatch"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""nextAccountToRegister"",""outputs"":[{""name"":"""",""type"":""uint24""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""lastVerifiedBlockNumber"",""outputs"":[{""name"":"""",""type"":""uint32""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""newBatchFee"",""type"":""uint128""}],""name"":""changeDepositBatchFee"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""uint256""}],""name"":""depositBatches"",""outputs"":[{""name"":""state"",""type"":""uint8""},{""name"":""numRequests"",""type"":""uint24""},{""name"":""blockNumber"",""type"":""uint32""},{""name"":""timestamp"",""type"":""uint64""},{""name"":""batchFee"",""type"":""uint128""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""lastCommittedDepositBatch"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""blockNumber"",""type"":""uint32""}],""name"":""BlockCommitted"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""blockNumber"",""type"":""uint32""}],""name"":""BlockVerified"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""batchNumber"",""type"":""uint256""},{""indexed"":true,""name"":""accountID"",""type"":""uint24""},{""indexed"":true,""name"":""publicKey"",""type"":""uint256""},{""indexed"":false,""name"":""amount"",""type"":""uint128""}],""name"":""LogDepositRequest"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""batchNumber"",""type"":""uint256""},{""indexed"":true,""name"":""accountID"",""type"":""uint24""}],""name"":""LogCancelDepositRequest"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""batchNumber"",""type"":""uint256""},{""indexed"":true,""name"":""accountID"",""type"":""uint24""}],""name"":""LogExitRequest"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""batchNumber"",""type"":""uint256""},{""indexed"":true,""name"":""accountID"",""type"":""uint24""}],""name"":""LogCancelExitRequest"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""ethereumAddress"",""type"":""address""},{""indexed"":true,""name"":""blockNumber"",""type"":""uint32""}],""name"":""LogExit"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""ethereumAddress"",""type"":""address""},{""indexed"":true,""name"":""blockNumber"",""type"":""uint32""},{""indexed"":false,""name"":""accountID"",""type"":""uint24""}],""name"":""LogCompleteExit"",""type"":""event""}]"
